ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID140280461,9 Pearce St,3,h,955000.0,16/04/2016,1.0,1.0,202.0,139.0,-37.8196,144.8839
ID397586714,5 Ballater St,5,h,1756000.0,17/09/2016,2.0,5.0,963.0,69.0,-37.7501,144.9048
ID956573078,15 Alma St,4,h,1550000.0,28/08/2016,2.0,4.0,848.0,49.0,-37.8847,145.076
ID490427481,50 Bamfield St,4,h,2700000.0,9/09/2017,2.0,1.0,722.0,129.0,-37.94804,145.00756
ID422846797,8 Watchtower Rd,3,h,675000.0,4/02/2016,1.0,2.0,142.0,14.0,-37.7382,144.97299999999996
ID545578488,2/61 Orient Av,3,u,907800.0,26/08/2017,2.0,2.0,309.0,14.0,-37.82653,145.20261000000005
ID701965482,110 Atkinson St,4,h,1840000.0,29/04/2017,2.0,2.0,598.0,119.0,-37.898,145.0928
ID992654739,27 The Avenue,4,h,1751000.0,17/06/2017,3.0,2.0,564.0,69.0,-37.73666,144.87725
ID993070721,20 Watt St,3,h,965000.0,26/08/2017,1.0,2.0,478.0,5.0,-37.82815,144.87395
ID654644055,22 Warrick Ct,4,h,1600000.0,10/12/2016,3.0,3.0,1801.0,49.0,-37.7532,144.8766
ID208901696,45 Muriel St,3,h,1230000.0,12/08/2017,2.0,1.0,324.0,3.0,-37.7431,144.88721999999999
ID949376454,5 Clarke Dr,5,h,660000.0,17/06/2017,2.0,1.0,536.0,44.0,-37.6852,144.89853
ID574963238,5/125 Locksley Rd,2,u,460000.0,16/04/2016,0.0,0.0,0.0,29.0,-37.7662,145.0516
ID175793745,28 Ray St,4,h,583000.0,15/07/2017,1.0,2.0,757.0,49.0,-37.97369000000001,145.19714
ID773436345,1/3 Steele St,2,u,536000.0,24/09/2016,1.0,1.0,0.0,59.0,-37.8713,145.0515
ID583633684,2/26 Wicklow St,3,u,940000.0,23/04/2016,2.0,1.0,382.0,21.0,-37.9061,145.0478
ID671641555,68 Wilmoth St,2,h,1100000.0,29/04/2017,1.0,1.0,330.0,89.0,-37.7629,145.0165
ID180966505,13 Shaftsbury St,4,h,1742000.0,15/10/2016,2.0,4.0,482.0,13.0,-37.7529,144.9534
ID477809135,7A Downland Sq,4,h,773000.0,24/06/2017,2.0,2.0,344.0,15.0,-37.75861,144.86687
