Organization,Address,Location,Country,Website
AIA Canada Society,405-375 W 5 Ave,"Vancouver, BC V5Y 1J6",Canada,http://www.aia.org/canadasociety
AIA Continental Europe,"10, rue Penthivre","75008
    Paris, 75008",France,https://www.aiaeurope.org/
AIA Hong Kong,"S602, Block A, PMQ, 35 Aberdeen Street","Central,",China,https://www.aiahk.org/
AIA Japan,"Nishi-Gotanda 1-26-2, Rm. 911, Shinagawa-ku","Tokyo, 141-0031",Japan,https://www.aiajapan.org/
AIA Marianas,316 Hernan Cortez Ave Ste 300,"Hagatna, GU 96910-5048",(671) 477 2111,https://www.aia.org/marianas
AIA Middle East,"FD - Ground Floor Accelerator
    Building","Masdar City,",United Arab Emirates,https://www.aiamiddleeast.org/
AIA Shanghai,"399 West Nanjing Road, 8th Floor, Tomorrow Square","Shanghai, 20000",China,https://www.aiarchitectsh.org/
AIA United Kingdom,27 Old Gloucester Street,"London, WC1N3AX",United Kingdom,https://www.aiauk.org/
AIA Abilene,500 Chicon St,"Austin, TX 78702-2754",United States,https://aiaabilene.com/
AIA Akron,540 White Pond Drive Suite E,"Akron, OH 44320","United
    States",http://www.aiaakron.org/
AIA Alabama,PO BOX 240757,"Montgomery, AL 36124-0757",United States,http://www.aiaalabama.org/
AIA Alaska,PO Box 244141,"Anchorage, AK 99524-4141",United States,http://www.aia.org/alaska
AIA Albuquerque,PO Box 12926,"Albuquerque, NM 87195","United
    States",http://www.aiaabq.org/
AIA Amarillo,500 Chicon St,"Austin, TX 78702-2754",United States,http://www.aia-amarillo.org/
AIA Architects League of Northern New Jersey,"414
    River View Plz","Trenton, NJ 08611-3420",United States,http://www.alnnj.org/
AIA Arizona,30 N 3Rd Ave Ste 200,"Phoenix, AZ 85003-1656",United States,http://www.aia.org/arizona
AIA Arkansas,318 S Pulaski St,"Little Rock, AR 72201-1928",United States,http://www.aiaar.org/
"AIA Asheville, a section of AIA North Carolina","PO
    Box 3121","Asheville, NC 28802-3121",United States,http://aia.org/ashevilleareasection
AIA Atlanta,"50 Hurt Plz SE , Ste 109","Atlanta, GA 30303-2914",United States,https://www.aiaatl.org/
"AIA Augusta, a section of AIA Georgia","50 Hurt Plz SE , Ste 109","Atlanta, GA 30303-2914",United States,http://www.aiaga.org/
AIA Austin,"801
    W 12Th St","Austin, TX 78701-1701",United States,http://www.aiaaustin.org/
AIA Baltimore,100 N Charles ST Ste P101,"Baltimore, MD 21201-3805",United States,http://www.aiabaltimore.org/
AIA Baton Rouge,521 America St,"Baton Rouge, LA 70802-5902",United States,http://www.aiabr.com/
"AIA Bend, a section of AIA Oregon",,,,
AIA Birmingham,109 Arrington Blvd S,"Birmingham, AL 35233-2121",United States,http://www.aiabham.org/
AIA Blue Ridge,PO Box 2715,"Roanoke, VA 24001-2715","United
    States",http://www.aiablueridge.org/
Boston Society of Architects,"290 Congress Street, Suite 200","Boston, MA 02210-1024",United States,https://www.architects.org/
AIA Brazos,PO BOX 115,"College
    Station, TX 77841-0115",United States,https://sites.google.com/view/brazosaia/home
AIA Bronx County,"52 S Pearl St , Fl 3","Albany, NY 12207-1521",United States,http://www.aianys.org/main/chapter.shtml#bronx
AIA Brooklyn,PO Box 23513,"Brooklyn, NY 11202-3513",United States,http://www.aiabrooklyn.org/
AIA Bucks County,"PO
    Box 134","Doylestown, PA 18901-0134",United States,http://aiabuckscounty.com/
AIA Buffalo/WNY,PO Box 1076,"Buffalo, NY 14207-9076",United States,http://aiabuffalowny.org/
AIA California,1931 H St,"Sacramento, CA 95811-3107",United States,https://aiacalifornia.org/ 
AIA California Central Coast,"PO
    Box 12344","San Luis Obispo, CA 93406-2344",United States,http://www.aiacentralcoast.org/
AIA California Desert,67-782 Highway 111 Ste B104-184,"Cathedral City, CA
    92234",United States,https://aiacdc.org/
AIA Central Idaho,PO Box 6303,"Boise, ID 83707",United States,http://www.aia.org/centralidaho
AIA Central Kentucky,"PO
    Box 701092","Louisville, KY 40270-1092",United States,http://www.aia-ckc.org/
"AIA Central Louisiana, a section of AIA Louisiana",,,,
AIA Central Massachusetts,"210
    Park Ave., Suite 360","Worcester, MA 01609",United States,http://www.aiacm.org/
AIA Central New Jersey,414 River View Plaza,"Trenton, NJ 08611-3420",United States,https://aiacnj.org/
AIA Central New York,"201 E. Jefferson St, Ste 200","Syracuse, NY 13202-2646",United States,http://aia.org/centralnewyork
AIA Central Oklahoma,"2220
    N. Classen Blvd., Suite A","Oklahoma City, OK 73106-6834",United States,http://www.aiacoc.org/
